threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,false_positive_rate,predicted_industrial
0.31,18,26,39,1122,0.4090909090909091,0.3157894736842105,0.3564356435643564,0.02264808362369338,44
0.32,17,26,40,1122,0.3953488372093023,0.2982456140350877,0.34,0.02264808362369338,43
0.33,15,24,42,1124,0.38461538461538464,0.2631578947368421,0.3125,0.020905923344947737,39
0.34,14,23,43,1125,0.3783783783783784,0.24561403508771928,0.2978723404255319,0.02003484320557491,37
0.35,14,22,43,1126,0.3888888888888889,0.24561403508771928,0.3010752688172043,0.01916376306620209,36
0.36,14,21,43,1127,0.4,0.24561403508771928,0.30434782608695654,0.018292682926829267,35
0.37,14,20,43,1128,0.4117647058823529,0.24561403508771928,0.3076923076923077,0.017421602787456445,34
0.38,14,20,43,1128,0.4117647058823529,0.24561403508771928,0.3076923076923077,0.017421602787456445,34
0.39,13,20,44,1128,0.3939393939393939,0.22807017543859648,0.28888888888888886,0.017421602787456445,33
0.4,13,18,44,1130,0.41935483870967744,0.22807017543859648,0.29545454545454547,0.0156794425087108,31
0.41,13,18,44,1130,0.41935483870967744,0.22807017543859648,0.29545454545454547,0.0156794425087108,31
0.42,13,15,44,1133,0.4642857142857143,0.22807017543859648,0.3058823529411765,0.013066202090592335,28
0.43,13,14,44,1134,0.48148148148148145,0.22807017543859648,0.30952380952380953,0.012195121951219513,27
0.44,12,14,45,1134,0.46153846153846156,0.21052631578947367,0.2891566265060241,0.012195121951219513,26
0.45,12,13,45,1135,0.48,0.21052631578947367,0.2926829268292683,0.01132404181184669,25
0.46,11,12,46,1136,0.4782608695652174,0.19298245614035087,0.275,0.010452961672473868,23
0.47,11,10,46,1138,0.5238095238095238,0.19298245614035087,0.28205128205128205,0.008710801393728223,21
0.48,11,8,46,1140,0.5789473684210527,0.19298245614035087,0.2894736842105263,0.006968641114982578,19
0.49,10,8,47,1140,0.5555555555555556,0.17543859649122806,0.26666666666666666,0.006968641114982578,18
0.5,10,7,47,1141,0.5882352941176471,0.17543859649122806,0.2702702702702703,0.006097560975609756,17
0.51,8,7,49,1141,0.5333333333333333,0.14035087719298245,0.2222222222222222,0.006097560975609756,15
0.52,8,7,49,1141,0.5333333333333333,0.14035087719298245,0.2222222222222222,0.006097560975609756,15
0.53,8,7,49,1141,0.5333333333333333,0.14035087719298245,0.2222222222222222,0.006097560975609756,15
0.54,8,6,49,1142,0.5714285714285714,0.14035087719298245,0.22535211267605634,0.005226480836236934,14
0.55,8,5,49,1143,0.6153846153846154,0.14035087719298245,0.22857142857142856,0.004355400696864111,13
0.56,7,5,50,1143,0.5833333333333334,0.12280701754385964,0.2028985507246377,0.004355400696864111,12
0.57,7,4,50,1144,0.6363636363636364,0.12280701754385964,0.20588235294117646,0.003484320557491289,11
0.58,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.59,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.6,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.61,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.62,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.63,7,3,50,1145,0.7,0.12280701754385964,0.208955223880597,0.002613240418118467,10
0.64,6,3,51,1145,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.002613240418118467,9
0.65,6,3,51,1145,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.002613240418118467,9
0.66,5,3,52,1145,0.625,0.08771929824561403,0.15384615384615385,0.002613240418118467,8
0.67,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.68,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.69,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.7,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.71,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.72,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.73,4,3,53,1145,0.5714285714285714,0.07017543859649122,0.125,0.002613240418118467,7
0.74,4,2,53,1146,0.6666666666666666,0.07017543859649122,0.12698412698412698,0.0017421602787456446,6
0.75,4,1,53,1147,0.8,0.07017543859649122,0.12903225806451613,0.0008710801393728223,5
0.76,4,1,53,1147,0.8,0.07017543859649122,0.12903225806451613,0.0008710801393728223,5
0.77,4,1,53,1147,0.8,0.07017543859649122,0.12903225806451613,0.0008710801393728223,5
0.78,4,1,53,1147,0.8,0.07017543859649122,0.12903225806451613,0.0008710801393728223,5
0.79,3,1,54,1147,0.75,0.05263157894736842,0.09836065573770492,0.0008710801393728223,4
0.8,3,1,54,1147,0.75,0.05263157894736842,0.09836065573770492,0.0008710801393728223,4
