threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,predicted_industrial
0.41,26,20,31,1095,0.5652173913043478,0.45614035087719296,0.5048543689320387,46
0.42,26,15,31,1100,0.6341463414634146,0.45614035087719296,0.5306122448979592,41
0.43,25,15,32,1100,0.625,0.43859649122807015,0.5154639175257731,40
0.44,24,13,33,1102,0.6486486486486487,0.42105263157894735,0.5106382978723405,37
0.45,24,12,33,1103,0.6666666666666666,0.42105263157894735,0.5161290322580646,36
0.46,23,12,34,1103,0.6571428571428571,0.40350877192982454,0.5,35
0.47,22,11,35,1104,0.6666666666666666,0.38596491228070173,0.4888888888888889,33
0.48,21,11,36,1104,0.65625,0.3684210526315789,0.47191011235955055,32
0.49,21,11,36,1104,0.65625,0.3684210526315789,0.47191011235955055,32
0.5,21,8,36,1107,0.7241379310344828,0.3684210526315789,0.48837209302325585,29
0.51,20,6,37,1109,0.7692307692307693,0.3508771929824561,0.48192771084337344,26
0.52,20,4,37,1111,0.8333333333333334,0.3508771929824561,0.4938271604938272,24
0.53,20,4,37,1111,0.8333333333333334,0.3508771929824561,0.4938271604938272,24
0.54,18,3,39,1112,0.8571428571428571,0.3157894736842105,0.46153846153846156,21
0.55,16,3,41,1112,0.8421052631578947,0.2807017543859649,0.42105263157894735,19
0.56,16,3,41,1112,0.8421052631578947,0.2807017543859649,0.42105263157894735,19
0.57,16,3,41,1112,0.8421052631578947,0.2807017543859649,0.42105263157894735,19
0.58,15,3,42,1112,0.8333333333333334,0.2631578947368421,0.39999999999999997,18
0.59,15,3,42,1112,0.8333333333333334,0.2631578947368421,0.39999999999999997,18
0.6,15,2,42,1113,0.8823529411764706,0.2631578947368421,0.40540540540540543,17
0.61,15,2,42,1113,0.8823529411764706,0.2631578947368421,0.40540540540540543,17
0.62,14,2,43,1113,0.875,0.24561403508771928,0.3835616438356165,16
0.63,14,2,43,1113,0.875,0.24561403508771928,0.3835616438356165,16
0.64,12,2,45,1113,0.8571428571428571,0.21052631578947367,0.33802816901408456,14
0.65,12,2,45,1113,0.8571428571428571,0.21052631578947367,0.33802816901408456,14
0.66,12,2,45,1113,0.8571428571428571,0.21052631578947367,0.33802816901408456,14
0.67,11,2,46,1113,0.8461538461538461,0.19298245614035087,0.3142857142857142,13
0.68,9,2,48,1113,0.8181818181818182,0.15789473684210525,0.2647058823529412,11
0.69,8,2,49,1113,0.8,0.14035087719298245,0.23880597014925373,10
0.7,8,2,49,1113,0.8,0.14035087719298245,0.23880597014925373,10
0.71,8,2,49,1113,0.8,0.14035087719298245,0.23880597014925373,10
0.72,8,0,49,1115,1.0,0.14035087719298245,0.24615384615384614,8
0.73,7,0,50,1115,1.0,0.12280701754385964,0.21875,7
0.74,6,0,51,1115,1.0,0.10526315789473684,0.1904761904761905,6
0.75,5,0,52,1115,1.0,0.08771929824561403,0.16129032258064516,5
0.76,4,0,53,1115,1.0,0.07017543859649122,0.13114754098360656,4
0.77,4,0,53,1115,1.0,0.07017543859649122,0.13114754098360656,4
0.78,3,0,54,1115,1.0,0.05263157894736842,0.1,3
0.79,3,0,54,1115,1.0,0.05263157894736842,0.1,3
0.8,3,0,54,1115,1.0,0.05263157894736842,0.1,3
