observation_id,source_class,label_quality,label_source,label_conflict_industrial_vs_vegetation,temporal_status,detections_30d,distinct_active_days_30d,frp,brightness,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,strong_industrial_vs_vegetation_distance_km,strong_industrial_within_1_0km,strong_industrial_within_1_5km,supporting_industrial_within_1_0km,supporting_industrial_within_1_5km,independent_industrial_distance_km,industrial_reference_le_1km,industrial_reference_le_2km,actual_class,raw_prob_industrial,raw_prob_natural,raw_prob_other,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other,raw_predicted_class,calibrated_predicted_class
FW25_00030251,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,4.66,348.77,2.7060735,0.15521166,2.3140326,2.377004,-0.3290696,0,0,1,1,72.5351940904966,False,False,natural_vegetation_fire,0.0168401168800046,0.6694428049487071,0.3137170781712882,0.0039233404770225,0.7763683225826284,0.219708336940349,natural_vegetation_fire,natural_vegetation_fire
FW25_00539323,other_uncertain,C_AMBIGUOUS,insufficient_or_conflicting_evidence,False,EPISODIC,0,0,11.83,354.21,0.22773759,0.09717751,11.017975,5.12873,4.9009924,1,1,1,1,31.563116483407228,False,False,other_uncertain,0.0141280444660264,0.6172412456029476,0.3686307099310261,0.0039294862613756,0.7257183510367439,0.2703521627018804,natural_vegetation_fire,natural_vegetation_fire
FW25_00508618,other_uncertain,C_AMBIGUOUS,insufficient_or_conflicting_evidence,False,EPISODIC,0,0,8.64,342.07,11.239037,0.12046093,4.2664123,23.590685,12.351648,0,0,1,1,128.11353858631765,False,False,other_uncertain,0.0115662309657913,0.5561847742096268,0.432248994824582,0.0039555705857619,0.6614273580279216,0.3346170713863162,natural_vegetation_fire,natural_vegetation_fire
FW25_00502947,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,16.4,346.13,8.945485,0.112712234,2.5753367,11.744174,2.798689,0,0,1,1,75.53800624590134,False,False,natural_vegetation_fire,0.0181830195084802,0.6813839240805524,0.3004330564109673,0.0040105048371261,0.7877691281063641,0.2082203670565098,natural_vegetation_fire,natural_vegetation_fire
FW25_00345547,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,0.9,311.48,8.310184,0.1405427,6.7098746,6.6896453,-1.6205382,0,0,1,1,25.172610168606376,False,False,natural_vegetation_fire,0.0237978347925251,0.752389915097249,0.2238122501102259,0.0040738170750755,0.8499252498241787,0.1460009331007458,natural_vegetation_fire,natural_vegetation_fire
FW25_00315551,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,14.98,367.0,0.47573373,0.46501026,5.1602483,2.8507786,2.3750448,1,1,1,1,26.842430429776677,False,False,natural_vegetation_fire,0.0200467882032781,0.6767774171388878,0.303175794657834,0.0042972594614073,0.7846990686003974,0.2110036719381953,natural_vegetation_fire,natural_vegetation_fire
FW25_00602530,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,6.33,344.04,1.9709517,0.9333118,2.8184187,0.10401395,-1.8669378,0,0,1,1,9.247245882851864,False,False,natural_vegetation_fire,0.0197728675608132,0.672539134413883,0.3076879980253036,0.004299072042782,0.7807640316661753,0.2149368962910427,natural_vegetation_fire,natural_vegetation_fire
FW25_00477570,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,4.78,348.15,0.5732152,0.49781537,3.9275959,1.0911965,0.51798135,1,1,1,1,54.29898337623543,False,False,natural_vegetation_fire,0.0159026018602034,0.6043377641885214,0.3797596339512751,0.0043396475296183,0.7139633163229795,0.2816970361474022,natural_vegetation_fire,natural_vegetation_fire
FW25_00040564,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,16.45,322.56,7.803564,0.68944305,3.2825186,5.0758057,-2.7277584,0,0,1,1,39.28736992575314,False,False,natural_vegetation_fire,0.0199834320719056,0.6676733145643258,0.3123432533637686,0.004370977115328,0.7764986835256431,0.2191303393590288,natural_vegetation_fire,natural_vegetation_fire
FW25_00539552,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.9,329.2,12.817333,0.90754735,13.756558,25.407104,12.589771,0,0,1,1,33.808710113516064,False,False,natural_vegetation_fire,0.019437029609696,0.6439382546462356,0.3366247157440683,0.0045155265952226,0.7543308894765606,0.2411535839282169,natural_vegetation_fire,natural_vegetation_fire
